date,quote_text,attribution,reflection,virtue
2026-05-14,"For we are made for co-operation, like feet, like hands, like eyelids, like the rows of the upper and lower teeth.","Marcus Aurelius, Meditations II.1","Where can you make cooperation easier for someone today?",justice
2026-05-15,"What is mine, and what is not mine; and what is permitted to me, and what is not permitted to me.","Epictetus, Discourses I.1","What will you separate into yours and not-yours before the day begins?",wisdom
2026-05-16,"There are more things, Lucilius, likely to frighten us than there are to crush us.","Seneca, Letters 13.4","Which fear can you test against what is actually happening?",courage
2026-05-17,"Not men alone, but women too, have a natural inclination toward virtue and the capacity for acquiring it.","Musonius Rufus, Lectures III","How can your actions show equal respect for another person's capacity for virtue?",justice
2026-05-18,"Lay hold of to-day's task, and you will not need to depend so much upon to-morrow's.","Seneca, Letters 1.2","What task deserves your full grasp before tomorrow enters the room?",wisdom
2026-05-19,"Suppose that something is carried round and is opposite to you. Stretch out your hand and take a portion with decency.","Epictetus, Enchiridion 15","Where would taking only your portion be enough today?",temperance
2026-05-20,"Death is such as generation is, a mystery of nature.","Marcus Aurelius, Meditations IV.5","What fear softens when you see death as part of nature?",courage
2026-05-21,"The first thing which philosophy undertakes to give is fellow-feeling with all men; in other words, sympathy and sociability.","Seneca, Letters 5.4","Who needs your philosophy to appear as sympathy today?",justice
2026-05-22,"If you would not make it a habit, do not do it, but accustom yourself to do something else in place of it.","Epictetus, Discourses II.18","What impulse can you replace before it hardens into habit?",temperance
2026-05-23,"Nowhere either with more quiet or more freedom from trouble does a man retire than into his own soul.","Marcus Aurelius, Meditations IV.3","Where can you return inward for steadiness instead of escape?",wisdom
2026-05-24,"If you would not have a man flinch when the crisis comes, train him before it comes.","Seneca, Letters 18.6","What small hardship can you practice before hardship chooses the hour?",courage
2026-05-25,"You may fetter my leg, but my will not even Zeus himself can overpower.","Epictetus, Discourses I.1","What brave duty can no outside force take from you?",courage
2026-05-26,"For only in this way will philosophy be of profit to anyone, if to sound teaching he adds conduct in harmony with it.","Musonius Rufus, Lectures I","Which belief will you turn into conduct before the day is over?",temperance
2026-05-27,"Pity him rather: drop this readiness to be offended and to hate.","Epictetus, Discourses I.18","How could understanding someone's mistaken view make you milder?",justice
2026-05-28,"It sits at the helm and directs our course as we waver amid uncertainties.","Seneca, Letters 16.3","What principle will steer you through today's uncertainty?",wisdom
2026-05-29,"That which does not make a man worse than he was, also does not make his life worse.","Marcus Aurelius, Meditations IV.8","What setback loses power when measured by your character?",courage
2026-05-30,"Regard him as loyal, and you will make him loyal.","Seneca, Letters 3.3","Where might trust invite a better version of someone?",justice
2026-05-31,"And let silence be the general rule, or let only what is necessary be said, and in few words.","Epictetus, Enchiridion 33","Where would fewer words protect your self-command today?",temperance
