date,quote_text,attribution,reflection,virtue
2026-06-01,"Nothing, Lucilius, is ours, except time.","Seneca, Letters 1.3","What will you protect today because it is truly yours?",wisdom
2026-06-02,"Externals are not in my power: will is in my power.","Epictetus, Discourses II.5","What freedom is already available inside your own choice?",wisdom
2026-06-03,"No evil is great which is the last evil of all.","Seneca, Letters 4.3","What fear shrinks when you remember even the last evil passes?",courage
2026-06-04,"All speak of themselves as having virtue and being good.","Musonius Rufus, Lectures II","How can you look for the seed of goodness before judging someone?",justice
2026-06-05,"Take the things which relate to the body as far as the bare use.","Epictetus, Enchiridion 33","What bodily comfort can stay useful without becoming the master?",temperance
2026-06-06,"The universe is transformation: life is opinion.","Marcus Aurelius, Meditations IV.3","What opinion is making a changing thing feel fixed?",wisdom
2026-06-07,"The true spirit can be tested, the spirit that will never consent to come under the jurisdiction of things external to ourselves.","Seneca, Letters 13.1","What external pressure can test you without ruling you?",courage
2026-06-08,"You are a citizen of the world, and a part of it.","Epictetus, Discourses II.10","Which relationship tells you what justice requires today?",justice
2026-06-09,"The limiting of desires helps also to cure fears.","Seneca, Letters 5.7","Which desire could you limit to quiet a needless fear?",temperance
2026-06-10,"For the present is the only thing of which a man can be deprived.","Marcus Aurelius, Meditations II.14","What deserves attention because this moment is the only one in hand?",wisdom
2026-06-11,"As often as he falls, rises again with greater defiance than ever.","Seneca, Letters 13.2","Where can you rise with more resolve than before?",courage
2026-06-12,"Welcome those whom you yourself can improve.","Seneca, Letters 7.8","Who can you help without needing a crowd to notice?",justice
2026-06-13,"Be willing at length to be approved by yourself.","Epictetus, Discourses II.18","Where can self-approval matter more than being seen by others?",temperance
2026-06-14,"Through not observing what is in the mind of another a man has seldom been seen to be unhappy.","Marcus Aurelius, Meditations II.8","Whose thoughts can you stop trying to manage today?",wisdom
2026-06-15,"You must persevere, must develop new strength by continuous study.","Seneca, Letters 16.1","What steady practice will make courage less dramatic and more real?",courage
2026-06-16,"It is enough if every man fully discharges the work that is his own.","Epictetus, Enchiridion 24","What work is yours to do for the common good?",justice
2026-06-17,"Pleasure, unless it has been kept within bounds, tends to rush headlong into the abyss of sorrow.","Seneca, Letters 23.6","Which pleasure needs a boundary before it turns into regret?",temperance
2026-06-18,"All that is from the gods is full of providence.","Marcus Aurelius, Meditations II.3","What would you see differently if you looked for order first?",wisdom
2026-06-19,"When we ought to share a friend's danger or that of our country, you must not consult the diviner whether you ought to share it.","Epictetus, Enchiridion 32","How can freedom mean showing up for another person's danger?",justice
2026-06-20,"Do not trust her seeming calm; in a moment the sea is moved to its depths.","Seneca, Letters 4.7","What preparation would help you stand steady if calm changes suddenly?",courage
2026-06-21,"Do not send your desire forward to it, but wait till it is opposite to you.","Epictetus, Enchiridion 15","What are you reaching for before its proper time?",temperance
2026-06-22,"To-day there is nothing wrong with it.","Seneca, Letters 13.7","What future fear can you answer with today's actual facts?",wisdom
2026-06-23,"Women as well as men, he said, have received from the gods the gift of reason.","Musonius Rufus, Lectures III","Where can shared reason guide you toward fairer treatment?",justice
2026-06-24,"Who then is the invincible? It is he whom none of the things disturb which are independent of the will.","Epictetus, Discourses I.18","What limitation can you meet without surrendering your will?",courage
2026-06-25,"The present alone can make no man wretched.","Seneca, Letters 5.9","What past or future trouble can you set down for this present moment?",temperance
2026-06-26,"Life is a warfare and a stranger's sojourn, and after fame is oblivion.","Marcus Aurelius, Meditations II.17","What ambition looks smaller when fame is measured against oblivion?",wisdom
2026-06-27,"The process is mutual; for men learn while they teach.","Seneca, Letters 7.8","What can you teach today in a way that also teaches you?",justice
2026-06-28,"Reflect that a highwayman or an enemy may cut your throat.","Seneca, Letters 4.8","What fragile assumption can make you braver if you face it plainly?",courage
2026-06-29,"If you have received the impression of any pleasure, guard yourself against being carried away by it.","Epictetus, Enchiridion 34","What tempting impression should wait until your judgment catches up?",temperance
2026-06-30,"Examine yourself; scrutinize and observe yourself in divers ways.","Seneca, Letters 16.2","What honest self-examination would make tomorrow cleaner?",wisdom
