date,quote_text,attribution,reflection,virtue
2026-08-01,"We have reached the heights if we know what it is that we find joy in.","Seneca, Letters 23.1","What does your joy reveal about what you value?",wisdom
2026-08-02,"I am not a hindrance to myself.","Epictetus, Discourses I.1","What fear loses power when you refuse to obstruct yourself?",courage
2026-08-03,"Those who seem to be busied with nothing are busied with the greater tasks.","Seneca, Letters 8.6","What quiet work may serve others more than visible busyness?",justice
2026-08-04,"If you would make any thing a habit, do it.","Epictetus, Discourses II.18","What small act of restraint can begin the larger discipline?",temperance
2026-08-05,"A man cannot lose either the past or the future.","Marcus Aurelius, Meditations II.14","What worry can you release because it is not actually in your hands?",wisdom
2026-08-06,"The spirit that will never consent to come under the jurisdiction of things external to ourselves.","Seneca, Letters 13.1","Where can you refuse the rule of circumstances without denying them?",courage
2026-08-07,"As for justice, would not the woman who studies philosophy be just, would she not be a blameless life-partner?","Musonius Rufus, Lectures III","How can justice show up in the closest partnership you have?",justice
2026-08-08,"Never say about any thing, I have lost it, but say I have restored it.","Epictetus, Enchiridion 11","What can you hold more lightly by remembering it was never owned?",temperance
2026-08-09,"Whatever years lie behind us are in death's hands.","Seneca, Letters 1.2","How can remembering spent time sharpen your use of this day?",wisdom
2026-08-10,"Consider these things, if you would exchange for them, freedom from passions, liberty, tranquillity.","Epictetus, Enchiridion 29","What price are you willing to pay for steadier freedom?",courage
2026-08-11,"The woman trained in philosophy would be disposed to look upon doing a wrong as worse than suffering one.","Musonius Rufus, Lectures III","Where would you rather suffer wrong than commit it?",justice
2026-08-12,"Be satisfied then in every thing with being a philosopher.","Epictetus, Enchiridion 23","What would be enough today if your aim were simply to live wisely?",temperance
2026-08-13,"Philosophy is no trick to catch the public; it is not devised for show.","Seneca, Letters 16.3","Where can you choose substance over looking wise?",wisdom
2026-08-14,"Even bad fortune is fickle. Perhaps it will come, perhaps not; in the meantime it is not.","Seneca, Letters 13.11","What possible trouble can you stop treating as present?",courage
2026-08-15,"Do not however be disagreeable to those who indulge in these pleasures, or reprove them.","Epictetus, Enchiridion 33","How can your restraint remain gentle toward people who choose differently?",justice
2026-08-16,"The measure of possession is to every man the body, as the foot is of the shoe.","Epictetus, Enchiridion 39","What possession has grown beyond the measure of real need?",temperance
2026-08-17,"If you look for it in a different place from where it is, what wonder if you never find it?","Epictetus, Discourses IV.1","What are you seeking in the wrong place?",wisdom
2026-08-18,"Perhaps it happens for my best interests; it may be that such a death will shed credit upon my life.","Seneca, Letters 13.14","What hardship can you meet as material for honor?",courage
2026-08-19,"But both courses are to be avoided; you should not copy the bad simply because they are many, nor should you hate the many because they are unlike you.","Seneca, Letters 7.8","Where can you refuse the crowd without contempt for the crowd?",justice
2026-08-20,"On no occasion call yourself a philosopher, and do not speak much among the uninstructed about theorems.","Epictetus, Enchiridion 46","Where can quiet practice replace announcing your principles?",temperance
2026-08-21,"It is more important for you to keep the resolutions you have already made than to go on and make noble ones.","Seneca, Letters 16.1","Which old resolution needs keeping more than you need a new one?",wisdom
2026-08-22,"Death certainly, and life, honor and dishonor, pain and pleasure, all these things equally happen to good men and bad.","Marcus Aurelius, Meditations II.11","What outside condition can you stop treating as proof of your worth?",courage
2026-08-23,"The true friendship which hope and fear and self-interest cannot sever.","Seneca, Letters 6.2","Which friendship deserves action free from self-interest?",justice
2026-08-24,"When you are eating with another, remember to look not only to the value for the body of the things set before you.","Epictetus, Enchiridion 36","How can consideration for another person shape your appetite?",temperance
2026-08-25,"Some things torment us more than they ought; some torment us before they ought.","Seneca, Letters 13.5","Which torment can you reduce by meeting it at its true size?",wisdom
2026-08-26,"He will be satisfied with what is left, taking as much pleasure in his impaired and maimed body as he took when it was sound.","Seneca, Letters 9.4","What loss could you meet by honoring what remains?",courage
2026-08-27,"He who regards himself only, and enters upon friendships for this reason, reckons wrongly.","Seneca, Letters 9.8","Where can you make friendship less about your own advantage?",justice
2026-08-28,"Wish to be considered to know nothing.","Epictetus, Enchiridion 13","Where would humility free you from performing certainty?",temperance
2026-08-29,"If fear wins a majority of the votes, incline in the other direction anyhow, and cease to harass your soul.","Seneca, Letters 13.13","What decision needs less harassment and more clear judgment?",wisdom
2026-08-30,"The outcome of every fight is death, and the means are fire and sword.","Seneca, Letters 7.4","What spectacle or conflict should you refuse because it trains cruelty?",justice
2026-08-31,"Not one then of the bad lives as he wishes; nor is he then free.","Epictetus, Discourses IV.1","What ungoverned habit is making you less free than you want to be?",temperance
